env_steps,epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/cql/cql_q1_rand,sac/cql/cql_q2_rand,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_q1_current_actions,sac/cql/cql_q2_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q2_next_actions,sac/cql/alpha_prime_loss,sac/cql/alpha_prime,average_return,average_traj_length,rollout_time,train_time,eval_time,epoch_time,_timestamp,_runtime
1000,0,-17.929412841796875,100.49690246582031,612.3101196289062,652.1104736328125,-48.01466369628906,0.7474241256713867,-60.456787109375,-62.419883728027344,-70.79777526855469,1000,3484.697265625,3519.0712890625,-18313.619140625,-18470.240234375,-78865.9453125,-79287.8828125,-15773.189453125,-15857.576171875,-17933.47265625,-18043.25,-17933.466796875,-18043.248046875,0.0,0.0,0.14055207975694622,10.0,2.527919054031372,19.63416337966919,0.0937502384185791,22.25583267211914,1658202114,1175
2000,1,139.03271484375,206.73431396484375,3567.12353515625,3702.808349609375,-3.3151354789733887,0.6596189141273499,-75.2109375,-54.59070587158203,-77.29464721679688,2000,21807.8984375,22083.40234375,-117401.1015625,-118450.3984375,-514546.0,-517418.4375,-102909.203125,-103483.6875,-111493.625,-112152.6796875,-111493.625,-112152.6796875,0.0,0.0,1.4940342903137207,19.56023406982422,0.0,21.05426836013794,1658202135,1196
3000,2,213.42147827148438,1106.751708984375,103688.890625,102912.8671875,20.558818817138672,0.733798623085022,-592.4285888671875,-575.816162109375,-701.0360717773438,3000,60927.1328125,61827.140625,-328508.6875,-332214.28125,-1439363.5,-1452436.5,-287872.6875,-290487.3125,-308594.78125,-311589.75,-308594.75,-311589.75,0.0,0.0,1.5107617378234863,19.71933388710022,0.0,21.230095624923706,1658202156,1218
4000,3,291.37884521484375,4192.2529296875,1257609.75,1247765.375,-4.288226127624512,1.0301467180252075,-2804.991455078125,-2822.19482421875,-3054.777587890625,4000,121798.859375,123872.328125,-660962.125,-670238.125,-2878363.0,-2916363.0,-575672.625,-583272.625,-619099.3125,-626375.0625,-619099.375,-626375.125,0.0,0.0,1.4735004901885986,19.799972772598267,0.0,21.273473262786865,1658202177,1239
5000,4,320.60504150390625,8626.16015625,7248349.0,7229773.0,-68.51912689208984,1.483915090560913,-6221.71484375,-6225.162109375,-7108.521484375,5000,201947.3125,206415.1875,-1096224.25,-1115540.25,-4781685.0,-4833713.0,-956337.0,-966742.625,-1021717.0,-1037746.1875,-1021717.0,-1037746.1875,0.0,0.0,1.5626497268676758,19.801456212997437,0.0,21.364105939865112,1658202199,1260
6000,5,297.956787109375,13690.9873046875,17642408.0,17475620.0,-111.373291015625,2.0912928581237793,-10308.076171875,-10349.109375,-11863.259765625,6000,289529.96875,295890.625,-1577889.75,-1608664.75,-6852295.5,-6995404.0,-1370459.125,-1399080.75,-1459630.625,-1485734.0,-1459630.625,-1485734.0,0.0,0.0,1.5791807174682617,19.777339458465576,0.0,21.356520175933838,1658202220,1282
7000,6,308.75384521484375,23022.21484375,95834344.0,91592880.0,-169.1743621826172,2.84588885307312,-18456.12109375,-18413.13671875,-19849.396484375,7000,368153.625,379110.125,-2007229.625,-2059843.875,-8654690.0,-8872987.0,-1730938.0,-1774597.375,-1867491.0,-1911517.625,-1867491.25,-1911517.625,0.0,0.0,1.5471959114074707,19.861189365386963,0.0,21.408385276794434,1658202242,1303
8000,7,301.7500305175781,31357.5546875,88764208.0,89985392.0,-207.14703369140625,3.813666820526123,-25031.9453125,-25132.07421875,-28684.255859375,8000,447335.4375,462606.25,-2438882.5,-2513360.75,-10563255.0,-10841055.0,-2112651.0,-2168211.0,-2262786.75,-2324937.75,-2262786.75,-2324937.75,0.0,0.0,1.4309577941894531,19.859211683273315,0.0,21.29016947746277,1658202263,1324
9000,8,264.44061279296875,38637.625,187849056.0,185600528.0,-189.82290649414062,5.034586429595947,-31590.25390625,-31685.162109375,-36275.5390625,9000,520870.5625,539503.5,-2840137.25,-2930217.75,-12212079.0,-12562370.0,-2442415.75,-2512474.0,-2635083.25,-2717228.25,-2635083.25,-2717228.25,0.0,0.0,1.4260461330413818,19.760669708251953,0.0,21.186715841293335,1658202284,1346
10000,9,261.4981689453125,51418.37890625,236864528.0,234844592.0,-215.10411071777344,6.54478645324707,-42555.25,-42471.546875,-47615.0,10000,594471.25,616363.125,-3239308.5,-3345223.0,-13867445.0,-14316335.0,-2773489.0,-2863267.0,-3005514.0,-3102819.75,-3005514.25,-3102819.75,0.0,0.0,0.14965327750010426,10.0,1.4459688663482666,19.80189871788025,0.08944296836853027,21.337310552597046,1658202305,1367
11000,10,246.19349670410156,60057.9140625,343539072.0,342859776.0,-211.96826171875,8.473275184631348,-50011.46875,-50066.2109375,-56217.4921875,11000,664230.75,687808.9375,-3644638.5,-3767965.75,-15635128.0,-16117535.0,-3127025.5,-3223507.0,-3383752.0,-3497278.0,-3383752.0,-3497278.5,0.0,0.0,1.4615039825439453,19.78909134864807,0.0,21.250595331192017,1658202327,1388
